Year,Mood
1981,   48.721
1982,   45.184
1983,   44.817
1984,   42.488
1985,   42.932
1986,   43.435
1987,   43.493
1988,   43.501
1989,   44.817
1990,   46.704
1991,   55.351
1992,   53.387
1993,   53.307
1994,    52.07
1995,   50.218
1996,    46.48
1997,   48.159
1998,   49.321
1999,   50.026
2000,   56.902
2001,   58.892
2002,   58.825
2003,   59.019
2004,   59.119
2005,   55.918
2006,   56.611
2007,   59.342
2008,   62.368
2009,    58.46
2010,   63.818
2011,    59.95
2012,   59.437
2013,   59.151
2014,   57.784
2015,   54.816
2016,   50.453
2017,   45.527
